Date,Open,High,Low,Close
07/15/2009,8363.95 ,8628.23 ,8363.95 ,8616.21 
07/14/2009,8331.37 ,8361.23 ,8285.20 ,8359.49 
07/13/2009,8146.82 ,8331.68 ,8130.42 ,8331.68 
07/10/2009,8182.49 ,8183.85 ,8093.31 ,8146.52 
07/09/2009,8179.01 ,8228.67 ,8145.31 ,8183.17 
07/08/2009,8157.02 ,8219.52 ,8087.19 ,8178.41 
07/07/2009,8324.95 ,8326.31 ,8154.38 ,8163.60 
07/06/2009,8279.30 ,8327.97 ,8205.99 ,8324.87 
07/02/2009,8503.00 ,8503.23 ,8280.74 ,8280.74 
07/01/2009,8447.53 ,8580.47 ,8447.53 ,8504.06 
06/30/2009,8528.93 ,8560.44 ,8393.95 ,8447.00 
06/29/2009,8440.13 ,8533.23 ,8429.09 ,8529.38 
06/26/2009,8468.54 ,8468.77 ,8401.36 ,8438.39 
06/25/2009,8299.25 ,8490.46 ,8259.43 ,8472.40 
06/24/2009,8323.51 ,8428.41 ,8259.88 ,8299.86 
06/23/2009,8340.44 ,8370.90 ,8286.41 ,8322.91 
06/22/2009,8538.52 ,8538.83 ,8334.55 ,8339.01 
06/19/2009,8556.96 ,8616.59 ,8496.73 ,8539.73 
06/18/2009,8496.73 ,8590.52 ,8475.12 ,8555.60 
06/17/2009,8504.36 ,8563.01 ,8461.29 ,8497.18 
06/16/2009,8612.44 ,8643.65 ,8499.38 ,8504.67 
06/15/2009,8798.50 ,8798.50 ,8577.90 ,8612.13 
06/12/2009,8770.01 ,8805.53 ,8716.73 ,8799.26 
06/11/2009,8736.23 ,8877.93 ,8736.23 ,8770.92 
06/10/2009,8763.66 ,8834.93 ,8639.95 ,8739.02 
06/09/2009,8764.83 ,8803.26 ,8725.12 ,8763.06 
06/08/2009,8759.35 ,8823.97 ,8633.07 ,8764.49 
06/05/2009,8751.75 ,8839.40 ,8700.41 ,8763.13 
06/04/2009,8665.72 ,8751.25 ,8634.57 ,8750.24 
06/03/2009,8740.07 ,8740.39 ,8598.38 ,8675.28 
06/02/2009,8721.60 ,8787.13 ,8693.72 ,8740.87 
06/01/2009,8501.53 ,8760.70 ,8501.29 ,8721.44 
05/29/2009,8404.04 ,8522.95 ,8368.52 ,8500.33 
05/28/2009,8300.50 ,8434.62 ,8246.58 ,8403.80 
05/27/2009,8473.65 ,8496.59 ,8289.35 ,8300.02 
